01:49:34 28-07-15,90.834328,20.641975,1.092157,0.806226,1.234568,27.160494,stress
01:50:34 28-07-15,92.520302,20.265823,1.384818,1.240347,7.594937,24.050632,stress
01:51:32 28-07-15,90.509537,20.716049,2.24012,3.118493,9.876543,22.222221,stress
01:52:31 28-07-15,91.138115,20.573172,1.405828,1.586984,14.634147,18.292683,stress
01:53:29 28-07-15,85.278275,21.986841,0.786287,0.95219,3.947368,22.368422,stress
01:54:26 28-07-15,88.538551,21.177216,1.015818,1.165751,7.594937,22.784811,stress
01:55:24 28-07-15,91.656609,20.456791,1.333791,1.25996,8.641975,24.691359,stress
01:56:22 28-07-15,89.070953,21.050632,1.089637,1.165751,7.594937,25.316456,stress
01:57:21 28-07-15,90.780037,20.654322,2.183894,3.158322,9.876543,23.456791,stress
01:58:19 28-07-15,93.408264,20.073172,0.907697,0.968644,7.317073,15.853659,stress
1/8/2015 3:28,93.691444,20.012501,0.987499,0.961276,5,23.75,stress
1/8/2015 3:29,94.273743,19.888889,1.070673,1.018577,8.641975,22.222221,stress
1/8/2015 3:31,90.394447,20.742424,1.142158,1.462348,9.090909,19.69697,stress
1/8/2015 3:34,96.730652,19.38372,1.182907,0.957939,5.813953,20.930233,stress
1/8/2015 3:37,89.458412,20.959459,0.958321,0.979236,4.054054,32.432434,stress
1/8/2015 3:38,87.522438,21.423077,1.171447,1.056827,3.846154,28.205128,stress
1/8/2015 3:39,86.180122,21.756756,1.017327,1.140776,6.756757,28.378378,stress
1/8/2015 3:41,90.509537,20.716049,1.433588,1.264911,6.17284,27.160494,stress
1/8/2015 3:45,88.803955,21.113924,2.792337,3.23443,3.797468,22.784811,stress
23:54:42 25-07-15,89.905365,20.855263,1.294766,1.380821,14.473684,19.736841,stress
23:55:43 25-07-15,83.183456,22.540541,1.357553,1.369931,13.513514,25.675676,relax
23:56:44 25-07-15,87.484238,21.432432,1.883834,1.92674,14.864865,17.567568,relax
00:00:51 26-07-15,85.740074,21.868422,1.249654,1.171893,7.894737,26.31579,relax
00:01:52 26-07-15,86.881653,21.581081,1.296218,1.116501,8.108109,22.972973,relax
00:02:53 26-07-15,81.081078,23.125,1.117257,1.23334,11.111111,22.222221,relax
00:03:51 26-07-15,82.03125,22.857143,1.154119,1.279719,8.571428,25.714285,relax
00:04:49 26-07-15,79.81115,23.492958,1.005243,1.230563,9.859155,25.352112,relax
00:05:47 26-07-15,82.589287,22.702703,1.135778,1.059853,6.756757,22.972973,relax
00:06:45 26-07-15,80.35714,23.333334,1.707825,1.48229,13.888889,29.166666,relax
00:07:45 26-07-15,78.68705,23.828571,1.393571,1.173376,8.571428,22.857143,relax
00:08:43 26-07-15,81.716415,22.945206,1.157352,0.978945,6.849315,23.287672,relax
00:09:41 26-07-15,87.053574,21.538462,2.010819,2.315953,5.128205,24.358974,relax
00:49:25 26-07-15,89.928055,20.85,0.975961,1.084996,8.75,20,stress
00:50:26 26-07-15,90.307045,20.762501,0.911643,0.927771,5,21.25,stress
00:51:27 26-07-15,94.086021,19.928572,0.910072,1.113986,5.952381,21.428572,stress
00:52:26 26-07-15,94.979141,19.741177,0.721973,0.912871,3.529412,28.235294,stress
00:53:25 26-07-15,92.065865,20.365854,2.189288,2.968975,4.878049,25.609756,stress
00:54:24 26-07-15,93.195267,20.119047,0.968612,1.02968,4.761905,29.761906,stress
00:55:22 26-07-15,96.153847,19.5,0.872713,1.079215,5.813953,26.744186,stress
00:56:20 26-07-15,98.272781,19.079546,0.800874,0.994236,6.818182,18.181818,stress
00:57:18 26-07-15,96.614738,19.406977,0.99274,0.913944,4.651163,22.093023,stress
00:58:17 26-07-15,95.263,19.682352,0.960536,0.932227,4.705883,22.352942,stress
00:59:16 26-07-15,94.172569,19.910257,0.989771,1.189783,8.974359,25.641026,stress
01:00:13 26-07-15,96.4991,19.430233,0.739904,0.847141,2.325581,24.418604,stress
01:01:12 26-07-15,95.190384,19.697369,0.993902,1.083205,6.578948,23.68421,stress
01:02:11 26-07-15,98.92086,18.954546,0.903391,0.952914,2.272727,30.681818,stress
01:03:11 26-07-15,99.985023,18.75281,2.817605,3.98577,5.617978,24.719101,stress
01:04:10 26-07-15,97.806755,19.170454,0.726473,0.850963,3.409091,21.59091,stress
01:05:11 26-07-15,100.10498,18.730337,2.160753,3.05257,3.370786,23.595505,stress
22:05:34 31-07-15,92.478424,20.275,5.436445,7.750051,13.75,21.25,stress
22:05:34 31-07-15,97.040451,19.321838,2.86675,3.99127,6.896552,33.333332,stress
22:05:34 31-07-15,97.446236,19.241379,2.117065,2.893457,5.747127,25.287355,stress
22:05:34 31-07-15,100.686157,18.622223,0.659592,0.834643,1.111111,28.888889,stress
22:05:34 31-07-15,100.070221,18.736841,0.718092,0.90185,3.947368,27.631578,stress
22:05:34 31-07-15,89.760635,20.888889,5.167259,8.274762,14.814815,18.518518,stress
22:05:34 31-07-15,92.188736,20.338709,3.34178,5.065149,9.67742,24.193548,stress
22:05:34 31-07-15,97.806755,19.170454,2.012583,2.878777,4.545455,29.545454,stress
22:05:34 31-07-15,94.221107,19.9,1.106658,1.043364,5,26.25,stress
1/8/2015 7:37,97.867599,19.158537,3.703886,5.208018,8.536586,18.292683,stress
1/8/2015 7:38,94.367882,19.869047,1.429117,1.041315,7.142857,25,stress
1/8/2015 7:39,92.468803,20.277109,0.86864,0.876523,2.409639,28.915663,stress
1/8/2015 7:40,92.785988,20.207792,1.256252,1.082152,5.194805,20.779221,stress
1/8/2015 7:41,94.765343,19.785715,1.155437,1.092141,7.142857,19.047619,stress
1/8/2015 7:42,97.738167,19.183908,0.916374,0.946229,5.747127,21.839081,stress
1/8/2015 7:43,91.841606,20.415585,1.3335,1.032371,6.493506,28.571428,stress
1/8/2015 7:44,97.922852,19.147728,0.947962,0.884087,2.272727,28.40909,stress
1/8/2015 7:45,91.720131,20.442623,2.538391,3.533176,8.196721,22.950819,stress
02:53:51 28-07-15,71.187996,26.338709,2.221185,1.624606,14.516129,20.967741,relax
04:32:57 28-07-15,70.754715,26.5,2.694865,1.908944,21.666666,20,relax
04:33:58 28-07-15,71.440506,26.245613,2.117567,1.690309,12.280702,24.561403,relax
04:34:58 28-07-15,68.868484,27.225807,2.439059,1.261017,8.064516,25.806452,relax
04:35:56 28-07-15,70.843826,26.466667,2.279392,1.512658,13.333333,23.333334,relax
04:36:54 28-07-15,67.365273,27.833334,2.266912,1.672307,15,20,relax
04:37:52 28-07-15,70.988579,26.412699,2.427586,1.745963,23.809525,9.523809,relax
04:38:50 28-07-15,71.09005,26.375,1.824315,1.543033,17.1875,20.3125,relax
04:39:48 28-07-15,67.446045,27.799999,1.989975,1.495757,13.333333,21.666666,relax
04:40:47 28-07-15,71.985603,26.046875,1.840768,1.327368,15.625,23.4375,relax
04:41:45 28-07-15,74.324326,25.227272,2.02855,1.58842,15.151515,18.181818,relax
04:42:43 28-07-15,71.899338,26.078125,2.078947,1.374369,17.1875,14.0625,relax
04:43:42 28-07-15,73.915901,25.366667,2.375729,1.646774,15,23.333334,relax
04:44:41 28-07-15,69.861778,26.838709,1.902406,1.355015,14.516129,17.741936,relax
04:45:39 28-07-15,77.100716,24.31884,1.781489,1.480262,13.043478,21.73913,relax
04:46:37 28-07-15,72.408539,25.894737,3.006683,2.263846,17.543859,15.789474,relax
04:49:12 28-07-15,71.684586,26.15625,1.978152,1.023533,4.6875,25,relax
04:50:13 28-07-15,71.556351,26.203125,1.324996,1.208436,14.0625,20.3125,relax
04:51:15 28-07-15,68.900604,27.213116,1.268984,1.683251,22.950819,11.47541,relax
04:52:14 28-07-15,69.183868,27.101694,1.260885,1.426353,11.864407,23.728813,relax
04:53:13 28-07-15,73.066544,25.661539,1.501557,1.408678,13.846154,27.692308,stress
04:54:11 28-07-15,81.279694,23.068493,1.327566,0.881917,2.739726,28.767124,stress
04:55:10 28-07-15,73.462929,25.523077,1.26622,1.369306,13.846154,16.923077,stress
04:56:08 28-07-15,74.152542,25.285715,1.681039,1.631346,19.047619,25.396826,stress
04:57:06 28-07-15,73.067253,25.661291,1.848657,1.482134,12.903226,27.419355,stress
04:58:04 28-07-15,79.715569,23.521128,0.962086,1.075706,5.633803,23.943663,stress
04:59:02 28-07-15,79.572624,23.563381,1.616224,1.259251,8.450705,32.394367,stress
05:00:01 28-07-15,76.393051,24.544117,1.205793,1.139521,5.882353,27.941177,stress
17:38:08 25-08-15,76.813301,24.409836,1.226391,1.264911,11.47541,22.950819,relax
17:39:03 25-08-15,80.433746,23.311111,2.076749,1.623688,15.555555,20,relax
17:39:55 25-08-15,77.913277,24.065218,1.433522,1.460594,15.217391,13.043478,relax
17:40:49 25-08-15,82.699623,22.672413,2.20986,1.420403,12.068966,13.793103,relax
17:41:42 25-08-15,77.452667,24.208334,1.089127,1.518008,20.833334,25,relax
17:42:35 25-08-15,79.365082,23.625,1.330515,1.163975,9.375,18.75,relax
17:43:29 25-08-15,77.205879,24.285715,1.273625,1.843909,23.809525,9.523809,relax
17:44:22 25-08-15,79.561523,23.566668,1.245171,1.597412,16.666666,16.666666,relax
17:45:15 25-08-15,80.166267,23.388889,1.257517,2.249183,11.111111,22.222221,relax
17:46:09 25-08-15,78.125,24,0.666667,1.080123,0,28.571428,relax
17:47:02 25-08-15,78.488373,23.888889,0.222222,0.353553,0,0,relax
17:47:55 25-08-15,72.6082,25.82353,1.499623,1.767767,11.764706,29.411764,relax
17:48:49 25-08-15,80.030487,23.428572,1.056827,1.374369,14.285714,14.285714,relax
